HARPNUM,NOAA,Class,Time,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH
8,11069,M1.2,2010.05.04_17:19_TAI,4.44927E+21,135.195,-0.04832249,9042.597,16.629,578.638,80.932,-0.07553489,37.238,156.727,-0.58707803,7.65943E+12,8.93826E+12,5.8928E+22,29.87,171.006271,4.072,237.118
49,11079,M1.0,2010.06.12_05:39_TAI,1.48604E+21,126.492,-0.00718197,5160.053,0.867,108.345,55.345,-0.00801632,24.466,132.485,-1.20177364,1.2109E+12,8.27508E+11,8.69618E+21,18.178,48.475544,3.192,9.114
115,11093,M1.0,2010.08.06_18:24_TAI,1.18214E+22,91.151,-0.01023015,10387.6,24.226,692.913,42.381,-0.01814705,37.119,93.933,-0.10954364,1.05062E+13,1.33525E+12,2.0272E+23,31.859,470.634491,3.818,150.332
211,11112,M2.9,2010.10.15_19:12_TAI,7.07632E+21,138.784,0.00260818,4582.969,9.572,568.726,69.917,0.00590971,34.312,143.935,1.40421236,9.57659E+12,6.70147E+12,5.55748E+22,25.423,703.612671,3.707,23.81
345,11149,M1.3,2011.01.27_01:03_TAI,1.96808E+22,57.665,0.0044152,6456.933,25.006,923.627,31.214,0.01203929,42.143,64.09,-0.27959716,1.69126E+13,8.39865E+12,2.70081E+23,30.612,515.142334,4.015,139.057
362,11153,M1.9,2011.02.08_01:31_TAI,1.09816E+22,79.412,-0.00207717,2954.804,13.675,577.683,38.162,-0.00651378,34.632,84.201,-0.09924616,1.24527E+13,1.57657E+12,7.06222E+22,28.183,240.660339,3.782,37.381
377,11158,M6.6,2011.02.12_17:38_TAI,5.88115E+21,110.985,-0.00070334,4376.574,38.869,537.13,72.481,-0.00248087,55.626,107.425,0.09912285,1.35466E+13,6.26676E+11,7.17178E+22,43.032,302.56897,3.473,8.679
377,11158,M2.2,2011.02.13_17:26_TAI,1.92285E+22,100.257,0.02140509,12845.72,56.699,2668.096,76.038,0.0513801,60.932,106.868,0.02259646,4.84286E+13,1.99011E+13,5.84584E+23,51.433,837.608398,4.803,733.488
384,11161,M1.1,2011.02.15_07:44_TAI,1.24914E+22,105.688,-0.00725763,3359.431,16.475,930.09,52.487,-0.02060507,37.947,110.123,-0.19215311,1.9071E+13,4.95032E+12,8.86628E+22,30.458,356.131836,4.172,144.231
377,11158,M1.6,2011.02.15_14:25_TAI,2.69624E+22,88.872,0.02112242,13340.8,58.246,3094.431,63.498,0.05024914,59.021,95.08,0.15063411,5.7193E+13,2.96413E+13,8.39865E+23,51.777,1096.292847,4.861,1001.287
377,11158,M6.6,2011.02.17_10:11_TAI,3.28106E+22,97.913,0.01707984,9756.794,39.6,3144.613,59.744,0.03685337,49.241,106.698,-0.02130954,5.89168E+13,2.97446E+13,6.56088E+23,42.407,1103.533447,4.972,864.753
384,11162,M1.0,2011.02.17_10:26_TAI,1.58506E+22,103.022,-0.00599469,7661.929,40.097,1347.631,60.568,-0.01635998,51.026,102.559,0.3575871,3.0405E+13,5.27462E+12,2.92166E+23,42.447,720.135925,4.018,172.114
377,11158,M1.4,2011.02.17_13:03_TAI,3.38562E+22,97.73,0.01374201,9806.895,37.902,3242.983,58.983,0.02949237,48.289,106.016,-0.01971286,5.82948E+13,2.65318E+13,6.7291E+23,41.47,1120.770874,5.027,709.995
384,11162,M1.0,2011.02.17_14:08_TAI,1.51457E+22,105.086,-0.00732057,8015.242,40.561,1318.121,61.592,-0.01967902,51.012,105.885,0.28574729,3.10222E+13,3.98054E+12,2.88756E+23,42.652,707.713928,4.055,198.585
384,11162,M1.3,2011.02.17_21:04_TAI,1.64965E+22,101.4,-0.00434301,6761.104,42.429,1366.395,58.952,-0.01306095,52.595,101.097,0.3663176,3.43432E+13,6.07182E+12,2.89907E+23,43.585,744.285461,3.665,140.218
393,11164,M1.1,2011.02.27_12:52_TAI,2.63448E+22,74.079,0.01285954,4375.255,14.828,1615.747,39.517,0.03724542,34.211,79.357,-0.14262953,3.17771E+13,2.51091E+13,2.34966E+23,28.223,597.53949,4.415,519.988
393,11164,M1.2,2011.03.06_05:13_TAI,5.69359E+22,98.303,0.00868506,10587.03,35.976,4703.476,56.248,0.01869764,45.776,106.762,-0.03036223,9.4028E+13,5.2409E+13,1.19668E+24,39.902,2068.188965,5.008,738.994
394,11165,M1.5,2011.03.06_07:54_TAI,3.12679E+22,94.326,-0.00629544,4796.396,22.027,2233.181,50.48,-0.01613283,39.517,101.714,-0.14272751,4.34279E+13,8.73631E+12,3.03618E+23,32.082,918.823975,4.561,300.072
393,11164,M1.4,2011.03.06_08:07_TAI,6.0202E+22,90.891,0.00688796,9753.147,33.616,4557.743,51.01,0.01607103,44.401,99.685,0.01943416,9.35109E+13,4.0771E+13,1.20818E+24,38.766,2116.946533,5.103,642.391
393,11164,M1.8,2011.03.06_09:20_TAI,5.69015E+22,94.973,0.00722766,10619.32,35.247,4427.353,54.153,0.01563461,45.159,104.498,-0.01012612,8.87462E+13,3.97392E+13,1.18878E+24,39.433,2114.205078,5.062,609.118
394,11165,M1.5,2011.03.06_21:50_TAI,4.58931E+22,83.29,0.00062341,5916.656,25.383,3219.611,46.979,0.0015206,41.002,95.012,-0.04423099,6.01338E+13,1.57614E+12,5.40987E+23,34.101,1281.49707,4.606,42.921
394,11165,M1.3,2011.03.07_02:29_TAI,4.82723E+22,80.115,0.00764372,6828.985,24.536,3453.203,46.953,0.0174632,40.971,93.458,-0.00538741,5.93296E+13,1.85237E+13,6.30363E+23,33.733,1376.02832,4.694,531.269
401,11166,M1.7,2011.03.08_11:07_TAI,3.06276E+22,89.44,0.00157765,11422.21,57.533,3005.14,64.335,0.00415461,60.074,93.768,0.22119564,6.61688E+13,6.7032E+12,8.86822E+23,51.867,1343.021606,4.849,92.229
401,11166,M1.7,2011.03.08_14:02_TAI,3.0937E+22,91.372,0.00092458,11800.67,57.424,3172.895,65.717,0.00237287,59.899,96.93,0.2103733,6.96777E+13,6.3355E+12,9.10799E+23,51.932,1364.176392,4.933,53.732
401,11166,X1.5,2011.03.08_23:23_TAI,3.16931E+22,100.747,-0.00362037,13918.64,55.653,3189.417,70.714,-0.00787461,58.445,106.981,0.35062268,6.84131E+13,1.2145E+13,9.73194E+23,50.523,1401.875,4.867,190.598
401,11166,M1.3,2011.03.11_04:43_TAI,3.99843E+22,95.814,0.00150913,12964.11,51.587,3642.808,63.133,0.00324813,54.706,103.599,0.14780775,7.421E+13,4.87514E+12,1.09377E+24,48.308,1596.190918,4.931,95.872
407,11169,M4.2,2011.03.13_19:52_TAI,2.4701E+22,103.061,-0.01777749,7538.316,28.757,1980.134,53.401,-0.04546132,43.111,107.457,-0.07319506,3.94555E+13,2.869E+13,3.96384E+23,36.394,916.404297,4.557,703.846
407,11169,M1.0,2011.03.14_00:22_TAI,2.56375E+22,96.948,-0.01693883,7390.57,24.387,1990.28,49.8,-0.04423522,40.576,102.646,0.06108308,3.8254E+13,2.88528E+13,4.032E+23,33.67,865.086426,4.405,695.83
437,11176,M1.0,2011.03.24_23:22_TAI,5.77351E+22,89.416,0.00371556,5568.178,23.805,3452.234,43.194,0.01080907,40.124,94.062,0.10441735,7.78113E+13,5.82819E+12,7.14255E+23,33.562,1498.546875,4.56,358.868
495,11190,M1.3,2011.04.14_17:12_TAI,2.72697E+22,117.301,-0.00773852,6595.277,35.361,2967.823,70.094,-0.02311371,49.518,122.064,0.08258814,6.27686E+13,1.34867E+13,4.27772E+23,40.375,1565.772339,4.772,377.942
514,11195,M1.8,2011.04.21_04:57_TAI,4.98341E+22,90.448,0.00477382,3582.813,15.418,2875.398,41.955,0.01417028,34.978,96.217,0.16145888,5.99648E+13,1.75436E+13,3.69688E+23,28.668,1319.255005,4.389,370.888
514,11195,M1.2,2011.04.21_15:53_TAI,5.59272E+22,86.749,0.00435001,2947.845,15.919,3216.335,40.583,0.01539075,36.36,89.354,0.08593605,7.29171E+13,1.98896E+13,3.81794E+23,28.888,1467.906982,4.496,424.226
746,11260,M1.1,2011.07.26_16:07_TAI,1.59137E+22,100.669,0.01212055,4893.722,19.745,1443.984,52.124,0.03281908,37.753,108.03,-0.18867645,2.6712E+13,1.31842E+13,1.59799E+23,32.229,473.508453,4.376,298.02
750,11261,M9.3,2011.07.29_02:09_TAI,2.54747E+22,90.047,0.00199996,7013.594,31.07,1844.63,49.865,0.00526799,44.011,96.581,0.08466963,3.928E+13,1.88216E+12,3.81721E+23,37.978,786.619995,4.51,81.96
750,11261,M1.4,2011.08.01_06:19_TAI,2.49347E+22,104.787,-0.00050631,10128.16,44.963,3392.425,70.526,-0.0014893,55.596,110.51,0.17412351,6.72482E+13,4.50716E+12,6.4212E+23,45.475,1322.17334,4.878,24.168
750,11261,M1.1,2011.08.02_03:37_TAI,2.17598E+22,107.368,0.02855355,11703.25,46.42,2900.207,73.892,0.07473892,55.675,113.341,0.08022054,5.09995E+13,4.31581E+13,5.97016E+23,45.406,1281.524658,4.735,1096.799
753,11263,M1.7,2011.08.02_04:32_TAI,2.93028E+22,80.624,0.0159645,19419.41,61.718,2562.688,58.397,0.02722074,61.079,89.9,0.04043592,5.19831E+13,2.7607E+13,1.18223E+24,53.844,1080.530151,4.794,731.796
753,11263,M2.5,2011.08.08_03:54_TAI,3.91321E+22,80.435,0.01496147,9891.792,36.032,2659.471,46.868,0.03267059,46.34,87.03,0.02582807,5.23091E+13,3.72313E+13,7.73386E+23,40.931,1135.402588,4.523,880.812
753,11263,X6.9,2011.08.08_08:05_TAI,3.94901E+22,73.5,0.01312117,8937.883,34.063,2367.658,41.913,0.03123316,45.356,78.737,0.02875213,4.69041E+13,3.57082E+13,7.36516E+23,39.751,1098.364502,4.516,814.116
814,11286,M3.2,2011.09.03_11:45_TAI,2.05797E+22,102.797,-0.00189855,3671.224,17.868,1176.327,46.348,-0.00679072,37.971,101.325,0.06207413,2.93495E+13,1.24777E+12,1.83043E+23,30.839,781.244934,3.756,71.275
814,11286,M1.6,2011.09.04_04:28_TAI,2.07125E+22,101.402,-0.0031972,3939.139,13.443,1117.03,43.042,-0.009571,33.725,101.014,-0.11911713,2.50398E+13,3.43527E+12,1.72933E+23,27.852,632.887329,3.821,105.677
814,11286,M1.2,2011.09.04_07:58_TAI,2.15138E+22,93.702,-0.00254674,3671.054,12.547,1114.672,38.316,-0.00808947,32.772,94.042,-0.05568312,2.49953E+13,2.26556E+12,1.71158E+23,27.071,594.340637,3.799,89.406
833,11283,M5.3,2011.09.05_01:50_TAI,2.27548E+22,108.265,-0.00133106,6525.299,40.003,2081.375,65.939,-0.00451624,52.226,108.206,0.31615111,4.78147E+13,7.49929E+12,3.84263E+23,42.319,1444.330688,4.18,59.021
833,11283,X2.1,2011.09.05_22:20_TAI,1.96011E+22,104.029,0.00484456,7019.133,42.096,1884.057,65.792,0.01690842,54.395,104.314,0.25686935,4.32586E+13,9.35523E+12,3.71219E+23,43.832,1386.162476,4.405,192.906
833,11283,M1.2,2011.09.08_12:49_TAI,2.2023E+22,99.927,0.00606686,5679.175,29.497,1664.149,50.044,0.02193646,43.765,102.167,0.11545154,4.27859E+13,8.71834E+12,3.22942E+23,37.363,1020.22345,4.503,259.746
833,11283,M1.1,2011.09.09_07:40_TAI,3.0177E+22,96.219,0.005609,5685.796,21.943,2206.992,46.24,0.01701169,38.583,102.805,0.02357626,4.873E+13,1.4735E+13,3.8245E+23,33.773,1045.84436,4.523,284.068
856,11295,M1.6,2011.09.22_01:59_TAI,5.69291E+22,98.471,0.00347017,4825.076,23.67,3885.448,47.272,0.0110656,39.452,101.944,0.03288315,9.02772E+13,1.51319E+13,6.31846E+23,34.266,2043.726807,4.561,342.169
856,11295,M1.6,2011.09.22_22:15_TAI,6.41094E+22,88.422,0.00386386,4961.141,18.706,3757.103,41.282,0.01105863,36.232,93.436,-0.04200354,7.96898E+13,1.30811E+13,6.67282E+23,31.293,1842.943848,4.664,391.316
892,11302,M7.1,2011.09.23_13:20_TAI,6.36253E+22,64.757,-0.00863482,13003.35,37.865,4633.63,42.457,-0.01615668,46.889,77.488,0.00992998,7.45367E+13,2.03067E+13,1.53491E+24,41.395,1952.906494,4.734,767.471
856,11295,M1.7,2011.09.23_16:59_TAI,7.04228E+22,74.63,0.00125951,6479.476,20.853,3744.352,36.827,0.00309235,36.52,82.261,-0.0599687,6.7497E+13,9.19431E+12,8.70563E+23,30.632,1898.400269,4.643,127.421
892,11302,M3.1,2011.09.23_17:25_TAI,6.42274E+22,69.786,-0.00567599,13657.85,38.494,4981.326,45.895,-0.00993897,46.93,81.922,0.07621145,8.05784E+13,7.3875E+12,1.58844E+24,41.732,1944.554321,4.821,497.041
892,11302,M3.0,2011.09.23_19:21_TAI,6.42261E+22,70.763,-0.00547463,13972.19,39.541,5176.428,46.256,-0.00951464,47.66,82.81,0.09937092,8.11446E+13,7.32525E+12,1.64955E+24,41.858,1929.158325,4.879,486.656
892,11302,M5.8,2011.09.23_20:36_TAI,6.11321E+22,73.03,-0.00994061,16451.81,42.032,4938.852,48.648,-0.0171051,48.596,86.24,0.05651997,8.09098E+13,1.35232E+13,1.82642E+24,43.14,1931.594238,4.877,830.946
892,11302,M4.4,2011.09.24_02:33_TAI,6.32517E+22,75.753,-0.01156281,16342.98,41.631,5322.797,49.084,-0.01970278,48.822,89.884,0.08630764,8.85575E+13,2.02628E+13,1.89875E+24,42.922,1947.435059,4.898,1011.503
892,11302,M7.4,2011.09.24_04:50_TAI,5.99255E+22,78.623,-0.01181853,17541.26,41.665,5291.53,51.398,-0.01929872,48.766,93.238,0.04959757,8.58982E+13,2.19321E+13,1.86712E+24,42.986,1942.631958,4.945,947.219
892,11302,M3.1,2011.09.24_08:49_TAI,5.6193E+22,77.44,-0.0043581,17942.22,44.161,5283.075,51.712,-0.00744126,50.116,93.249,0.05512072,8.57974E+13,5.99985E+12,1.82949E+24,44.195,1899.690552,4.921,334.602
892,11302,M3.7,2011.09.24_15:33_TAI,5.46961E+22,76.019,-0.00488012,17483.81,45.848,5109.388,50.774,-0.0088384,50.895,91.137,0.03607413,8.62208E+13,1.09172E+13,1.81157E+24,45.381,1908.942871,4.971,380.747
899,11303,M2.2,2011.09.24_16:58_TAI,7.93305E+21,90.834,-0.00824956,5320.33,23.41,604.139,50.645,-0.02026665,42.93,103.652,-0.20951498,1.16346E+13,1.39068E+12,8.64127E+22,33.423,118.25827,3.57,100.884
892,11302,M4.0,2011.09.25_05:08_TAI,5.35544E+22,84.726,-0.00803906,19544.82,48.566,5671.832,55.148,-0.01225743,51.925,99.048,0.13372317,8.41629E+13,1.92183E+13,1.87211E+24,46.424,1809.962891,5.13,579.809
892,11302,M2.6,2011.09.25_14:46_TAI,4.89991E+22,81.978,-0.0059772,18442,51.57,5307.525,55.812,-0.01064995,53.792,93.348,0.14873804,8.43202E+13,1.79545E+13,1.76201E+24,48.333,1821.53833,5.152,429.999
892,11302,M1.2,2011.09.27_13:28_TAI,3.9315E+22,79.424,-0.00552456,18040.51,61.095,3677.712,58.116,-0.01098146,61.06,87.719,0.27131569,7.28972E+13,1.02103E+13,1.56924E+24,53.813,1907.038086,4.915,361.836
902,11305,M1.0,2011.09.29_19:06_TAI,9.64002E+21,95.57,-0.01176608,11757.76,51.307,888.04,60.396,-0.02854551,57.869,95.594,0.28894952,2.04692E+13,8.70227E+12,2.84377E+23,48.928,479.951324,3.761,214.284
902,11305,M3.9,2011.10.01_00:50_TAI,1.03907E+22,96.445,-0.0261536,13969.57,54.497,1073.162,65.091,-0.05782404,61.605,96.256,0.38523424,2.28487E+13,2.13017E+13,3.6943E+23,50.554,596.812256,4.228,520.77
892,11302,M1.3,2011.10.01_17:23_TAI,3.92882E+22,91.414,-0.01254783,11115.18,41.303,2996.875,52.293,-0.0266321,49.366,95.953,0.12047285,6.22662E+13,3.32353E+13,9.11712E+23,42.809,1571.734619,4.646,774.979
940,11319,M1.3,2011.10.20_13:00_TAI,7.6121E+22,76.737,-0.00090533,5013.263,18.688,3421.399,33.865,-0.00283183,36.746,79.172,0.04495918,7.91713E+13,5.28462E+12,8.66897E+23,30.219,2073.495361,4.501,117.878
940,11314,M1.3,2011.10.21_11:10_TAI,6.738E+22,63.795,-0.00150556,5748.075,20.017,2696.022,30.526,-0.00438706,37.683,68.411,0.04593207,5.61708E+13,5.2264E+12,8.38997E+23,29.497,1666.92334,4.506,165.467
1028,11339,M1.0,2011.11.03_20:40_TAI,8.44433E+22,72.424,-0.0013413,12417.4,37.801,5695.781,45.564,-0.0025688,46.098,83.482,-0.02667546,1.0195E+14,3.29481E+12,1.91596E+24,40.565,2569.760742,4.977,155.829
1028,11339,M3.7,2011.11.04_03:35_TAI,8.31085E+22,75.907,-0.00020461,12231.91,37.506,5748.408,46.347,-0.00038815,45.779,86.19,-0.01051962,1.00898E+14,6.18787E+11,1.84569E+24,40.499,2652.738037,4.975,23.247
1028,11339,M1.1,2011.11.04_11:21_TAI,8.06157E+22,74.531,-0.00042322,11193.56,36.896,5606.214,45.015,-0.00090441,45.858,84.995,-0.02594888,1.03272E+14,8.33034E+12,1.74463E+24,40.565,2714.874023,5.029,49.669
1028,11339,M1.8,2011.11.04_20:38_TAI,8.29885E+22,83.651,-0.00116566,11792.68,37.423,6148.942,49.506,-0.00232505,46.011,93.716,0.02608811,1.14839E+14,3.32389E+12,1.83679E+24,40.964,2813.589844,5.12,136.708
1028,11339,M1.2,2011.11.05_01:03_TAI,8.47228E+22,82.109,-0.00104592,11148.7,38.3,6053.082,48.455,-0.00224201,46.672,91.135,0.02013253,1.17859E+14,4.9784E+12,1.87854E+24,41.631,2838.06543,5.138,132.696
1028,11339,M1.4,2011.11.05_06:35_TAI,7.86221E+22,82.295,-0.00108287,11001.48,39.803,5834.367,49.45,-0.00248651,48.012,90.828,0.07269865,1.18243E+14,7.29476E+12,1.80262E+24,42.539,2838.521973,5.138,133.6
1041,11342,M1.1,2011.11.08_13:35_TAI,4.01261E+22,89.517,0.00095265,5191.978,23.802,2565.447,42.752,0.00304988,39.668,91.132,0.03683924,6.12664E+13,3.48057E+12,4.80284E+23,34.265,1352.241943,4.191,66.353
1066,11346,M1.9,2011.11.14_12:43_TAI,2.46172E+22,94.541,0.00393811,3598.469,11.659,1338.549,40.348,0.01249618,33.055,97.313,0.14474551,3.00418E+13,6.95903E+12,1.88844E+23,26.495,680.660095,4.079,155.614
1209,11387,M1.5,2011.12.25_02:27_TAI,3.67718E+21,123.223,0.00332162,3031.315,28.187,346.118,65.489,0.01299297,47.871,122.237,0.26166794,8.52055E+12,2.46222E+12,3.03499E+22,36.493,202.226044,3.224,25.038
1209,11387,M2.3,2011.12.25_20:30_TAI,9.21868E+21,115.117,0.02568825,8406.541,40.818,1405.997,74.058,0.0723488,51.905,124.479,0.10649417,2.51883E+13,1.95024E+13,1.88888E+23,43.618,355.334747,4.401,434.62
1256,11389,M1.2,2011.12.29_03:09_TAI,6.94058E+22,76.111,0.00243398,5211.059,19.512,3558.924,34.995,0.00688553,35.695,85.181,-0.04504848,7.44423E+13,9.1421E+12,7.55229E+23,30.213,1743.220459,0,265.604
1256,11389,M2.4,2011.12.30_13:15_TAI,6.29072E+22,89.953,0.00300409,5619.266,21.757,4030.386,43.336,0.00858723,38.232,93.217,-0.10155504,9.01703E+13,1.70209E+13,7.64614E+23,33.124,2069.264893,4.654,307.781
1256,11389,M1.5,2011.12.30_16:26_TAI,6.5251E+22,87.428,0.00223854,5106.508,23.069,3996.915,41.882,0.0071961,39.41,90.118,-0.04330122,9.63289E+13,1.17743E+13,7.85656E+23,33.982,2061.943359,4.633,259.331
1321,11401,M1.0,2012.01.16_04:53_TAI,8.58564E+22,61.705,-0.00648891,8157.333,28.979,4269.887,37.337,-0.0142655,42.325,69.739,0.00198389,7.89578E+13,2.84012E+13,1.32854E+24,35.453,2156.873779,0,795.747
1350,11410,M1.0,2012.02.05_20:00_TAI,2.98983E+22,83.043,-0.00015572,4425.488,17.294,1544.95,35.734,-0.00050354,36,87.2,-0.1256679,3.6567E+13,5.22924E+12,3.00315E+23,29.925,696.774658,4.122,7.957
1449,11429,M2.1,2012.03.04_19:16_TAI,4.40246E+22,77.259,-0.01824893,12420.26,39.492,3211.511,50.923,-0.03201709,48.973,90.694,0.0494459,5.5785E+13,4.3173E+13,9.66735E+23,43.35,1324.382446,4.826,1069.497
1449,11429,M1.8,2012.03.04_19:30_TAI,4.482E+22,77.282,-0.01865742,12066.98,38.531,3320.802,51.261,-0.03177444,48.311,90.013,0.07932483,5.64188E+13,4.29789E+13,9.34718E+23,42.866,1328.875977,4.839,1088.194
1449,11429,M1.3,2012.03.04_22:34_TAI,4.69778E+22,78.488,-0.02010728,13115.92,40.115,3571.854,52.005,-0.03583089,48.945,91.939,0.01309422,6.08921E+13,4.73436E+13,1.10799E+24,43.246,1379.710815,4.879,1278.944
1449,11429,M1.3,2012.03.05_00:28_TAI,4.88173E+22,80.355,-0.02287007,13006.38,39.742,4027.111,54.105,-0.03886739,48.821,96.153,-0.03938779,6.59161E+13,5.2865E+13,1.11391E+24,43.255,1422.027832,4.905,1474.822
1449,11429,M1.2,2012.03.05_01:44_TAI,4.91702E+22,80.911,-0.02384039,13602.04,40.331,4160.7,54.557,-0.04078092,49.272,96.483,0.00813966,6.79801E+13,5.57284E+13,1.18432E+24,43.434,1460.973755,4.923,1563
1449,11429,M1.0,2012.03.05_04:05_TAI,4.98255E+22,81.298,-0.02267543,13461.38,40.834,4389.073,54.756,-0.04027428,49.803,97.405,-0.03148611,7.27236E+13,5.60435E+13,1.22406E+24,44.003,1499.648071,5.006,1552.564
1449,11429,M1.0,2012.03.05_07:55_TAI,5.03653E+22,82.389,-0.02349708,13786.05,41.246,4373.3,55.001,-0.04049674,49.95,97.177,-0.06516133,7.26225E+13,5.53986E+13,1.24434E+24,44.361,1563.955444,5.01,1596.956
1449,11429,M2.1,2012.03.05_12:41_TAI,4.92263E+22,81.94,-0.02413555,14631.29,41.753,4341.768,57.09,-0.03989685,49.739,97.849,0.02697377,7.05658E+13,5.53173E+13,1.24969E+24,44.356,1552.681885,4.95,1552.23
1449,11429,M1.0,2012.03.05_22:53_TAI,5.47589E+22,84.474,-0.02976453,15901.82,45.298,5112.459,56.485,-0.05019824,50.881,100.633,0.00087835,8.19634E+13,8.04107E+13,1.56244E+24,45.757,1696.176147,5.14,2202.099
1461,11432,M2.8,2012.03.13_15:21_TAI,1.19718E+22,116.374,0.00327314,2776.308,25.402,1108.328,60.913,0.01412354,43.656,113.345,0.15395635,2.85529E+13,2.54243E+12,9.0746E+22,35.776,642.784607,3.787,80.555
