HARPNUM,NOAA,Class,Time,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH
4197,12085,M1.8,2014.06.11_09:37_TAI,6.816E+22,95.811,0.00602548,10660.24,37.407,4760.954,53.914,0.01211872,46.853,101.826,-0.11301165,9.61311E+13,2.68423E+13,1.38646E+24,40.341,3007.746094,4.838,590.087
4231,12089,M1.1,2014.06.11_20:03_TAI,3.56525E+21,144.564,0.02487393,6385.363,24.915,539.639,91.622,0.05967132,46.563,155.292,0.16572794,9.62492E+12,7.86685E+12,4.50969E+22,34.806,182.561783,3.962,132.28
4197,12085,M1.1,2014.06.14_11:39_TAI,6.39254E+22,66.171,0.00140382,6461.367,17.701,2774.578,31.902,0.00332038,34.208,74.635,0.00781576,4.65599E+13,4.42922E+12,7.54852E+23,28.043,2981.719482,0,123.484
4225,12087,M1.0,2014.06.15_00:01_TAI,2.24526E+22,103.963,0.0205896,5234.319,21.038,1660.857,47.805,0.06245822,38.719,104.121,0.68382019,3.29577E+13,2.75506E+13,2.57098E+23,32.494,1113.182495,3.409,761.465
4344,12113,M1.2,2014.07.08_00:26_TAI,1.14688E+22,90.02,0.00361106,4247.908,16.639,688.069,43.033,0.00875346,35.06,94.182,-0.2272062,1.22129E+13,3.20534E+12,9.22879E+22,27.871,273.216003,3.718,59.073
4294,12106,M1.5,2014.07.09_22:34_TAI,3.08791E+22,96.022,0.00072036,2702.874,7.835,1519.767,38.195,0.00221896,29.435,96.234,-0.19873719,3.24241E+13,5.05099E+12,1.67868E+23,24.88,816.385925,3.802,33.688
4396,12130,M2.5,2014.07.30_11:14_TAI,5.02454E+22,82.184,0.00077386,7115.601,25.12,3154.689,43.037,0.00189507,39.885,89.425,-0.21731082,6.07641E+13,8.6376E+12,6.92626E+23,32.984,1605.37854,0,56.72
4639,12182,M1.3,2014.10.08_01:43_TAI,2.07408E+22,129.642,-0.0007375,2533.339,9.684,1482.138,54.971,-0.00260884,33.06,128.898,0.27430376,3.27212E+13,4.89713E+12,1.14332E+23,26.127,1436.934448,3.601,25.062
4639,12182,M1.4,2014.10.08_01:58_TAI,2.07087E+22,130.207,-0.00039486,2526.891,9.081,1449.528,55.105,-0.00139275,32.767,129.389,0.23340753,3.20635E+13,4.14674E+12,1.13484E+23,25.929,1449.483643,3.722,13.353
4639,12182,M1.2,2014.10.08_06:59_TAI,1.98278E+22,131.99,0.00182063,2817.82,10.058,1480.744,57.227,0.00600547,33.377,132.065,0.20769942,3.17402E+13,3.44713E+12,1.18201E+23,26.288,1452.218872,3.774,57.494
4698,12192,M3.9,2014.10.19_09:11_TAI,1.24909E+23,80.176,-0.00506511,14303.42,33.775,8233.463,44.841,-0.00927889,43.821,92.394,-0.04389242,1.40513E+14,3.00915E+13,3.10376E+24,38.74,4227.217285,4.997,827.594
4698,12192,M4.5,2014.10.19_16:37_TAI,1.36508E+23,83.98,-0.00476762,13384.34,33.384,9268.647,46.563,-0.0092371,44.162,94.719,0.03880415,1.70045E+14,3.75211E+13,3.36655E+24,39.135,4440.582031,5.131,902.948
4698,12192,M1.4,2014.10.19_19:02_TAI,1.32918E+23,87.175,-0.0055913,14534.96,34.49,9673.208,47.704,-0.01002849,44.528,98.404,0.04313257,1.63378E+14,3.20853E+13,3.43872E+24,39.42,4576.804688,5.187,996.022
4698,12192,M1.7,2014.10.19_20:04_TAI,1.3084E+23,88.327,-0.00550902,15457.57,35.428,10058.913,49.464,-0.00954467,44.94,101.012,0.01150371,1.66347E+14,2.87168E+13,3.50934E+24,39.914,4645.686523,5.199,941.74
4698,12192,M1.2,2014.10.19_22:55_TAI,1.39232E+23,88.309,-0.00531158,14794.81,34.643,10679.933,48.996,-0.00971546,44.381,101.141,0.04642599,1.78698E+14,2.90095E+13,3.69458E+24,39.577,4735.427734,5.166,998.748
4698,12192,M8.7,2014.10.21_01:59_TAI,1.38001E+23,95.271,-0.00596269,17310.74,41.447,12354.98,55.462,-0.01065686,48.51,109.576,0.07297926,2.10651E+14,2.13815E+13,4.38673E+24,43.553,5533.27832,5.35,1137.754
4698,12192,M2.7,2014.10.21_05:17_TAI,1.3243E+23,97.22,-0.00602499,18254.02,43.699,11889.348,58.911,-0.00992013,49.681,110.793,0.02850861,2.04226E+14,2.27991E+13,4.27377E+24,44.433,5655.849121,5.363,1062.146
4698,12192,X1.6,2014.10.21_14:28_TAI,1.28726E+23,95.14,-0.00618713,18761.59,46.814,11688.285,59.802,-0.01072704,51.38,109.813,0.10008512,2.13293E+14,2.61038E+13,4.38331E+24,46.038,5950.770996,5.382,1088.422
4698,12192,M1.1,2014.10.22_09:50_TAI,1.32142E+23,95.75,-0.00358483,20200.48,50.353,11448.595,60.74,-0.00620174,53.215,109.191,0.12510623,2.16354E+14,1.19174E+13,4.90322E+24,47.543,6501.41748,5.398,655.189
4698,12192,X3.1,2014.10.23_21:41_TAI,1.42202E+23,95.081,-0.00287493,19356.54,53.128,11477.119,59.935,-0.00512563,54.666,104.974,0.0581721,2.21072E+14,6.21447E+12,5.27635E+24,49.2,6846.543945,5.417,590.085
4698,12192,X1.0,2014.10.24_17:08_TAI,1.50266E+23,96.008,-0.00348048,18389.8,50.852,12280.969,58.114,-0.00587998,53.155,105.777,0.02138764,2.26661E+14,1.18392E+13,5.15136E+24,47.855,7044.97998,5.359,734.111
4698,12192,X2.0,2014.10.25_10:56_TAI,1.64496E+23,92.418,-0.00207693,16178.9,44.031,12732.282,53.888,-0.00395699,49.566,102.635,0.12099912,2.38175E+14,2.56895E+13,5.14919E+24,44.603,7142.945801,5.459,497.723
4698,12192,M1.0,2014.10.25_17:17_TAI,1.69536E+23,97.407,-0.00191454,17386.12,41.615,13597.732,55.521,-0.00314168,47.911,108.259,0.019674,2.3309E+14,3.92507E+13,5.19277E+24,43.145,7112.023438,5.475,430.566
4698,12192,M1.9,2014.10.25_18:49_TAI,1.76588E+23,94.295,-0.00188722,15921.77,40.337,13236.691,52.707,-0.00339547,47.286,104.449,0.0936707,2.40311E+14,3.70304E+13,5.22465E+24,42.619,7067.698242,5.451,466.287
4698,12192,M2.4,2014.10.25_20:21_TAI,1.74504E+23,95.998,-0.00299593,16253.26,40.691,13129.162,54.482,-0.00516933,47.364,105.102,0.05260317,2.36778E+14,2.60309E+13,5.1239E+24,42.64,6992.087891,5.41,711.149
4698,12192,M7.1,2014.10.26_00:34_TAI,1.76532E+23,94.377,-0.00211513,15912.16,39.001,13100.229,53.588,-0.00361299,46.577,103.276,0.02170521,2.36664E+14,3.59185E+13,5.02495E+24,41.852,6900.827637,5.3,502.941
4698,12192,M1.0,2014.10.26_02:02_TAI,1.77796E+23,95.462,-0.00249516,16028.9,38.731,13148.165,54.285,-0.00419135,46.425,104.151,0.01047254,2.353E+14,3.4648E+13,5.02309E+24,41.656,6936.214844,5.369,588.748
4698,12192,M1.3,2014.10.26_03:41_TAI,1.80675E+23,95.085,-0.00240096,15705.96,38.129,13339.108,52.832,-0.00411761,45.945,103.631,0.04879177,2.36509E+14,4.08214E+13,5.05322E+24,41.182,6957.290039,5.423,581.643
4698,12192,M6.7,2014.10.26_10:09_TAI,1.82634E+23,90.144,-0.0004808,15004.12,35.874,13077.992,50.528,-0.00088624,44.952,99.021,0.07932328,2.32913E+14,5.8775E+13,5.01674E+24,40.032,6883.268066,5.482,121.047
4698,12192,X2.0,2014.10.26_14:47_TAI,1.84137E+23,90.32,-0.00021518,15093.87,35.011,13269.779,50.314,-0.00037829,44.46,99.174,0.07920273,2.29388E+14,6.09415E+13,4.95396E+24,39.563,6823.04834,5.486,53.178
4698,12192,M1.4,2014.10.26_17:40_TAI,1.91689E+23,87.756,0.00013125,15091.48,33.938,13770.992,48.775,0.00022943,43.684,96.824,0.02448187,2.31998E+14,4.68519E+13,5.12025E+24,39.052,6773.321289,5.444,33.53
4698,12192,M3.4,2014.10.27_02:42_TAI,1.95665E+23,87.25,0.00001221,14808.11,31.71,14156.545,48.619,0.00002053,42.405,96.017,-0.03865151,2.3279E+14,3.82243E+13,4.97376E+24,37.76,6494.164551,5.324,3.088
4698,12192,M6.6,2014.10.27_03:32_TAI,1.96102E+23,86.765,-0.00054891,14556.5,31.3,13812.041,47.721,-0.00092657,42.078,95.422,-0.01125753,2.27636E+14,3.18854E+13,4.90526E+24,37.303,6506.261719,5.367,139.278
4698,12192,M1.6,2014.10.27_14:06_TAI,1.96394E+23,81.728,-0.00087268,13422.11,28.578,13130.025,45.242,-0.00153391,40.676,90.933,-0.02483752,2.11503E+14,2.08905E+13,4.56083E+24,35.157,6125.493164,5.244,223.275
4698,12192,M1.0,2014.10.28_08:20_TAI,1.96216E+23,73.243,0.00013076,13605.06,27.655,11812.092,41.539,0.00022252,40.051,83.029,-0.08218562,1.8487E+14,1.04308E+13,4.41384E+24,33.951,5580.368652,5.233,31.942
4698,12192,M1.2,2014.10.28_10:01_TAI,1.94278E+23,70.758,-0.00044847,13112.81,27.507,11537.965,40.534,-0.00079172,40.301,80.945,-0.02353142,1.81184E+14,3.03754E+12,4.32755E+24,33.707,5562.792969,5.218,111.442
4698,12192,M1.4,2014.10.28_14:33_TAI,1.90943E+23,69.187,-0.00030745,13464.62,27.645,11476.043,40.534,-0.00053905,40.244,80.285,0.00675982,1.76526E+14,4.45524E+12,4.32166E+24,33.61,5459.979492,5.256,74.303
4698,12192,M1.0,2014.10.28_16:20_TAI,1.94828E+23,68.202,-0.00100311,13631.61,27.795,11638.328,40.329,-0.00171289,39.872,80.565,-0.05309442,1.79956E+14,6.65929E+12,4.37468E+24,33.827,5388.207031,5.229,242.393
4698,12192,M1.3,2014.10.28_18:50_TAI,1.92862E+23,65.669,-0.00059989,13420.68,27.896,11364.622,39.187,-0.00106481,40.529,78.264,-0.01514305,1.75868E+14,8.1445E+12,4.39819E+24,33.786,5414.904785,5.218,148.025
4781,12205,M2.5,2014.11.05_22:16_TAI,4.95348E+22,85.001,0.0205768,6894.752,19.718,3914.222,46.896,0.04452963,35.953,96.006,-0.08383337,6.41437E+13,4.50794E+13,6.05302E+23,30.696,1308.449585,4.699,1360.23
4781,12205,M2.7,2014.11.06_02:49_TAI,4.8279E+22,89.611,0.02347118,7259.672,20.408,4107.798,49.154,0.04980458,36.802,100.907,-0.10943547,6.57724E+13,4.90548E+13,6.16938E+23,31.202,1359.003662,4.812,1501.921
4781,12205,M1.0,2014.11.06_10:22_TAI,4.38941E+22,92.195,0.02754938,7409.801,20.913,3983.368,49.541,0.06211685,37.418,101.679,0.02691982,6.28535E+13,5.46741E+13,5.93464E+23,31.786,1332.505127,4.757,1661.393
4781,12205,M2.3,2014.11.08_15:32_TAI,3.10283E+22,109.123,0.02633971,8138.149,34.274,3545.107,62.264,0.07596355,46.479,112.935,0.24706908,6.63771E+13,5.91432E+13,5.72177E+23,39.17,1625.62561,4.746,1394.424
4817,12209,M3.2,2014.11.14_12:03_TAI,1.06252E+23,71.603,0.00100349,8342.48,21.112,5204.915,33.14,0.0022743,35.773,79.629,0.01733452,9.40067E+13,4.44883E+12,1.62784E+24,30.67,3197.015137,4.585,147.436
4817,12209,M5.7,2014.11.15_17:48_TAI,1.31493E+23,87.787,0.00377932,7686.938,19.481,7714.841,41.123,0.00924983,36.74,92.284,0.06145165,1.53085E+14,3.95321E+13,1.99911E+24,31.089,4466.322266,4.845,740.071
4874,12222,M1.8,2014.11.30_06:41_TAI,3.5845E+22,91.695,-0.00428966,16686.35,51.688,2679.638,58.197,-0.00680775,54.929,96.902,0.00500059,5.29072E+13,3.44503E+12,1.13155E+24,48.077,1410.88208,4.771,219.035
4874,12222,M1.3,2014.12.03_08:10_TAI,3.40272E+22,95.154,-0.00332363,16285.87,53.721,2856.312,62.127,-0.00587347,56.206,102.119,0.03912684,5.41961E+13,6.86598E+12,1.10129E+24,49.242,1531.882202,4.755,169.236
4874,12222,M6.1,2014.12.03_18:25_TAI,3.53004E+22,96.674,-0.00198268,15929.77,50.529,2773.765,60.516,-0.00339363,54.469,103.877,0.09158196,5.30766E+13,4.15253E+12,1.08781E+24,47.81,1526.291992,4.631,101.946
4874,12222,M1.3,2014.12.03_19:41_TAI,3.65385E+22,94.35,-0.00102873,14769.73,50.505,2761.178,57.978,-0.00191239,54.221,100.659,0.0809995,5.53636E+13,2.32258E+12,1.10088E+24,47.782,1519.661499,4.679,57.737
4874,12222,M1.5,2014.12.04_12:25_TAI,3.47772E+22,94.97,-0.00368436,13975.13,45.752,2496.812,56.16,-0.00688388,52.367,100.449,0.02067768,4.98477E+13,2.65696E+12,9.73098E+23,45.441,1456.366699,4.66,193.163
4920,12242,M1.6,2014.12.13_19:33_TAI,5.56083E+22,108.187,0.00520035,4095.947,13.335,3476.876,44.236,0.01653711,33.33,108.702,0.37078378,7.52932E+13,2.43611E+13,4.84967E+23,27.317,3144.025879,4.234,463.632
4920,12242,M1.5,2014.12.16_01:10_TAI,5.94148E+22,109.45,0.00999622,9644.059,33.953,5291.7,61.747,0.0250347,47.257,114.592,0.47811294,1.05916E+14,4.07486E+13,1.22195E+24,38.864,4466.143066,5.021,953.659
4941,12241,M1.4,2014.12.16_19:01_TAI,2.73339E+22,101.006,0.01008956,10368.85,43.207,2299.756,63.046,0.02258144,51.754,108.985,0.1213378,5.04312E+13,1.50159E+13,5.88074E+23,44.511,1089.984985,4.753,430.875
4920,12242,M1.3,2014.12.18_09:44_TAI,8.76638E+22,107.373,0.01024403,10544.42,33.591,7463.121,59.556,0.02457562,45.117,114.061,0.29296654,1.43603E+14,6.8754E+13,1.8791E+24,38.533,4800.830078,5.226,1374.595
4920,12242,M1.2,2014.12.20_07:32_TAI,1.03425E+23,95.549,0.00665213,7195.446,25.365,6927.822,46.427,0.01782149,39.641,101.878,0.18677592,1.39236E+14,5.70299E+13,1.53955E+24,33.288,3651.19751,5.126,1071.685
4941,12241,M1.0,2014.12.20_12:17_TAI,2.68945E+22,81.302,0.01578774,15316.14,60.444,2168.919,57.726,0.03255469,60.188,87.11,0.03427478,4.42106E+13,3.23181E+13,9.06109E+23,52.382,1321.939087,4.549,703.281
4920,12242,M1.0,2014.12.21_01:49_TAI,9.3928E+22,92.694,0.00477825,6836.958,22.905,5753.036,44.896,0.01189268,38.333,97.735,-0.01331084,1.19652E+14,4.78344E+13,1.27031E+24,32.552,2994.421875,5.008,668.482
4955,12249,M2.2,2014.12.26_02:16_TAI,1.77472E+22,105.788,0.00153641,5437.988,21.788,1161.795,49.646,0.00428312,38.792,108.138,-0.06195044,2.54889E+13,4.64553E+12,2.04712E+23,32.351,715.437256,4.247,43.551
5011,12253,M1.1,2015.01.02_09:47_TAI,4.07105E+22,90.915,0.0019623,10836.75,49.211,3195.711,58.086,0.00460726,53.643,97.143,-0.05175582,7.09886E+13,1.01754E+13,9.61508E+23,47.047,1606.590698,4.876,131.097
5011,12253,M1.3,2015.01.03_15:36_TAI,3.59422E+22,91.095,0.00483064,13290.08,54.969,3029.516,61.919,0.01111446,57.124,98.565,-0.0089128,6.58406E+13,1.74637E+13,1.06074E+24,49.675,1822.082153,4.974,290.312
5026,12257,M4.9,2015.01.12_04:58_TAI,3.06218E+22,81.705,-0.00082344,8586.288,30.438,2018.188,47.531,-0.00178058,42.936,88.873,-0.08798233,3.67155E+13,3.73868E+12,4.96941E+23,36.956,839.099731,4.292,35.885
5107,12268,M1.1,2015.01.25_16:53_TAI,2.97507E+22,93.935,0.00144295,9944.769,36.919,1868.783,50.339,0.00318828,46.751,96.542,0.02569826,4.16543E+13,3.01591E+12,6.05347E+23,40.283,1149.066895,4.17,66.136
5107,12268,M1.4,2015.01.27_04:41_TAI,2.84424E+22,99.132,-0.0033359,12051.28,45.598,2152.403,62.428,-0.00707785,53.351,102.974,0.38330999,4.55171E+13,8.76342E+12,7.17216E+23,44.313,1496.577515,4.399,149.492
5107,12268,M2.1,2015.01.28_11:42_TAI,2.38376E+22,96.81,-0.00656354,12626.73,51.054,1826.831,63.01,-0.01434825,57.284,99.952,0.40490863,4.14306E+13,8.23538E+12,6.68373E+23,47.556,1629.372192,4.392,261.61
5107,12268,M2.0,2015.01.29_00:44_TAI,2.48454E+22,97.754,-0.00668703,13681.9,50.811,2011.612,65.332,-0.01382986,57.672,101.608,0.20933595,4.40973E+13,7.98939E+12,7.27043E+23,47.657,1631.794556,4.304,267.568
5107,12268,M1.7,2015.01.29_05:36_TAI,2.56707E+22,96.402,-0.00504311,11940.43,52.087,1959.15,65.433,-0.01184294,58.352,97.973,0.12633081,4.48808E+13,5.46959E+12,7.04688E+23,48.696,1666.764282,4.364,224.106
5127,12277,M2.4,2015.01.29_12:16_TAI,7.08965E+22,71.301,0.00226216,6236.896,20.324,3801.507,38.503,0.00508285,36.452,77.776,-0.12867352,6.57902E+13,7.92527E+12,7.98991E+23,29.796,1945.754761,4.656,218.21
5127,12277,M1.2,2015.02.03_02:15_TAI,2.60474E+22,123.128,-0.00727057,6682.86,27.175,2199.324,68.062,-0.01852181,44.706,124.703,0.49270073,4.63192E+13,1.06207E+13,3.57002E+23,34.802,2288.352783,4.041,292.459
5144,12280,M2.4,2015.02.08_23:35_TAI,1.78869E+22,101.538,0.00280161,9082.224,42.812,1595.974,62.114,0.00714822,51.974,107.209,0.08737171,3.42093E+13,5.2301E+12,3.67155E+23,43.52,864.771606,4.516,85.272
5298,12297,M4.5,2015.03.08_14:33_TAI,3.02293E+22,84.622,0.01786164,6506.06,22.752,1875.221,41.578,0.04280549,37.92,90.092,-0.21385798,3.49556E+13,3.70957E+13,3.75734E+23,32.081,886.331177,4.261,776.696
5298,12297,M2.9,2015.03.10_00:02_TAI,2.90309E+22,103.502,0.03183938,9633.623,32.582,2773.889,55.249,0.07061788,44.429,110.235,0.10338405,4.76701E+13,5.43902E+13,5.53668E+23,38.704,1154.420898,4.851,1377.881
5298,12297,M1.0,2015.03.10_18:51_TAI,2.4412E+22,109.164,0.04721068,12333.33,35.149,2962.243,62.781,0.09467006,46.495,116.573,0.18455109,4.64714E+13,5.6217E+13,5.76106E+23,39.78,1247.062744,4.914,1660.541
5298,12297,M3.2,2015.03.11_04:46_TAI,2.46502E+22,102.452,0.04098912,13567.82,41.421,2933.521,63.165,0.0870783,50.478,113.003,0.18550964,4.93199E+13,6.29751E+13,6.89286E+23,43.473,1308.109863,4.988,1567.916
5298,12297,M1.6,2015.03.11_11:50_TAI,2.37173E+22,106.437,0.04613017,15911.99,43.291,3116.846,69.255,0.08805357,51.707,118.725,0.26296473,5.17031E+13,5.6382E+13,7.36782E+23,44.177,1350.246338,4.978,1608.328
5298,12297,M1.4,2015.03.11_12:14_TAI,2.37154E+22,105.847,0.04707745,16196.66,44.181,3200.725,69.339,0.08871289,52.075,119.343,0.27048209,5.20731E+13,5.6495E+13,7.46113E+23,44.476,1352.061646,5.005,1632.929
5298,12297,M4.2,2015.03.11_14:08_TAI,2.41822E+22,105.124,0.04719947,16511.05,44.186,3361.771,70.186,0.0895184,52.372,117.728,0.27709234,5.44179E+13,6.25825E+13,7.81493E+23,44.754,1382.05249,4.977,1682.142
5298,12297,M2.7,2015.03.11_21:51_TAI,2.5434E+22,109.386,0.05830004,18959.68,44.39,3894.999,77.205,0.09833068,52.999,123.545,0.17521118,5.61042E+13,6.60948E+13,8.97592E+23,44.635,1385.953735,5.064,2078.28
5298,12297,M1.2,2015.03.12_04:01_TAI,2.58534E+22,110.163,0.0618707,21060.15,47.782,4241.828,79.692,0.09910719,54.518,126.409,0.28344649,5.78201E+13,6.70399E+13,9.89453E+23,46.101,1367.356323,5.102,2188.676
5298,12297,M1.3,2015.03.13_04:40_TAI,2.31825E+22,109.689,0.06012075,18239.88,48.519,3571.779,79.114,0.10877275,56.193,120.277,0.23874843,5.19085E+13,6.18951E+13,8.35246E+23,46.996,1389.48938,4.92,2072.963
5298,12297,M1.0,2015.03.14_09:40_TAI,2.35295E+22,112.708,0.04675806,15164.98,42.746,3055.749,74.337,0.08727562,52.717,119.878,0.37501171,4.64344E+13,5.247E+13,6.92023E+23,43.245,1431.439941,4.852,1606.607
5298,12297,M1.2,2015.03.14_23:22_TAI,2.75688E+22,104.879,0.03905259,11981.09,40.855,3397.321,64.984,0.08797835,50.573,111.685,0.35452622,5.71901E+13,5.86951E+13,7.14073E+23,42.532,1412.157959,4.692,1752.563
5298,12297,M1.6,2015.03.15_10:58_TAI,2.77225E+22,105.59,0.02851996,11941.94,39.13,2877.018,61.962,0.0617587,48.644,111.511,0.32043982,4.92268E+13,3.62093E+13,6.70076E+23,41.082,1400.352905,4.823,1204.911
5415,12320,M1.4,2015.04.07_14:43_TAI,1.6735E+22,113.766,0.00787489,5093.959,23.643,1475.78,61.431,0.02706918,43.104,115.254,0.22044127,3.24595E+13,1.20238E+13,2.01036E+23,33.83,1251.948486,4.156,234.018
5446,12322,M1.0,2015.04.20_07:21_TAI,8.38844E+21,89.632,-0.0105154,2454.757,9.939,436.3,39.498,-0.02947941,30.523,94.18,-0.27653337,8.62831E+12,5.84189E+12,4.00168E+22,24.274,151.323227,3.628,129.055
5446,12322,M2.2,2015.04.20_11:57_TAI,1.23055E+22,93.395,-0.01229435,3101.799,13.047,740.589,42.186,-0.02984137,33.333,99.204,-0.05220507,1.31286E+13,1.03181E+13,7.04734E+22,26.019,252.85733,3.72,210.332
5447,12325,M1.2,2015.04.20_22:01_TAI,5.06813E+22,96.743,-0.0049745,4092.798,17.343,3003.038,43.537,-0.01637425,36.165,97.627,0.25970742,6.7635E+13,1.39533E+13,4.5876E+23,30.243,2143.303955,4.053,419.843
5526,12335,M1.3,2015.05.04_14:25_TAI,2.64906E+22,100.319,0.00538627,7834.177,39.427,2207.644,60.568,0.01429537,49.472,103.763,0.15421073,4.90734E+13,8.68465E+12,4.6288E+23,42.338,1241.187988,4.561,239.63
5526,12335,M2.6,2015.05.04_17:24_TAI,2.52456E+22,105.354,0.0058018,8447.712,40.166,2233.84,65.211,0.01411596,49.804,109.442,0.1241921,4.679E+13,9.5877E+12,4.50979E+23,42.409,1263.797485,4.498,233.215
5637,12360,M1.3,2015.06.12_07:29_TAI,5.69974E+22,82.488,0.00128533,3897.788,12.1,2835.275,37.319,0.00383563,31.916,87.984,-0.03162351,5.65386E+13,1.70352E+12,4.48994E+23,26.183,1631.55188,4.462,111.481
5692,12371,M1.0,2015.06.19_06:48_TAI,5.03032E+22,84.406,-0.01005872,18649.46,51.975,3790.262,56.851,-0.01494257,53.73,95.842,-0.13598129,6.6952E+13,2.35747E+13,1.58615E+24,47.933,1852.075806,4.995,644.16
5673,12367,M3.8,2015.06.20_09:44_TAI,4.3412E+22,109.424,0.00573801,5334.497,18.022,2990.72,52.363,0.01446581,36.47,114.836,-0.02510257,5.85744E+13,2.13346E+13,4.42856E+23,31.039,1728.649536,4.532,358.677
5673,12367,M1.1,2015.06.20_18:20_TAI,4.86086E+22,99.811,0.00432562,4426.653,15.156,2896.809,45.61,0.0119043,34.685,104.311,-0.0543315,5.94787E+13,2.03521E+13,4.29317E+23,29.415,1616.292358,4.443,315.878
